"","ID_RSSID","Entity_Type","Name"
"1551",1074156,"FHD","BB&T CORPORATION                                                  WINSTON SALEM            NC             19690101               Richmond"
"3110",1039502,"FHD","CHASE MANHATTAN CORPORATION, THE                              NEW YORK                 NY             19681028      20001230 New York"
"3123",1039502,"BHC","CHEMICAL BANKING CORPORATION                                  NEW YORK                 NY             19681028      19960330 New York"
"3127",1039502,"BHC","CHEMICAL NEW YORK CORPORATION                                 NEW YORK                 NY             19681028      19880428 New York"
"5971",1070345,"FHD","FIFTH THIRD BANCORP                                          CINCINNATI               OH             19750415               Cleveland"
"6270",1119794,"BHC","FIRST BANK SYSTEM, INC.                                     MINNEAPOLIS              MN             19290402      19970731 Minneapolis"
"6637",1037003,"BHC","FIRST EMPIRE STATE CORPORATION                          BUFFALO                  NY             19691231      19980528 New York"
"9691",1068191,"FHD","HUNTINGTON BANCSHARES INCORPORATED                     COLUMBUS                 OH             19670622               Cleveland"
"10132",1039502,"FHD","J.P. MORGAN CHASE & CO.                                           NEW YORK                 NY                       19681028      20040719 New York"
"10360",1039502,"FHD","JPMORGAN CHASE & CO.                              NEW YORK                 NY             19681028               New York"
"10564",1068025,"FHD","KEYCORP                                                CLEVELAND                OH             19581231               Cleveland"
"11338",1037003,"FHD","M&T BANK CORPORATION                                           BUFFALO                  NY             19691231               New York"
"14291",1069778,"BHC","PITTSBURGH NATIONAL CORPORATION                                  PITTSBURGH               PA             19690430      19830118 Cleveland"
"14381",1069778,"FHD","PNC BANK CORP.                                               PITTSBURGH               PA             19690430      20000313 Cleveland"
"14383",1069778,"BHC","PNC FINANCIAL CORP.                                               PITTSBURGH               PA             19690430      19930207 Cleveland"
"14384",1069778,"FHD","PNC FINANCIAL SERVICES GROUP, INC., THE                           PITTSBURGH               PA             19690430               Cleveland"
"14872",3242838,"FHD","REGIONS FINANCIAL CORPORATION                      BIRMINGHAM               AL             20040701               Atlanta"
"15923",1068025,"BHC","SOCIETY CORPORATION                                  CLEVELAND                OH             19581231      19940228 Cleveland"
"16122",1074156,"BHC","SOUTHERN NATIONAL CORPORATION                                 WINSTON-SALEM            NC             19690101      19970516 Richmond"
"16698",1131787,"FHD","SUNTRUST BANKS, INC.                                ATLANTA                  GA             19850701               Atlanta"
"17418",1119794,"FHD","U.S. BANCORP                                       MINNEAPOLIS              MN             19290402               Minneapolis"
